Algorithm: Differential Evolution
Objective Function: Sphere
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 146: Best Solution = [-7.42981261e-16  8.97802101e-16], Best Fitness = 1.3580697659593329e-30, Evaluations = 1176
Generation 147: Best Solution = [ 3.74291073e-16 -4.44415426e-16], Best Fitness = 3.3759887828856495e-31, Evaluations = 1184
Generation 148: Best Solution = [ 3.74291073e-16 -4.44415426e-16], Best Fitness = 3.3759887828856495e-31, Evaluations = 1192
Generation 149: Best Solution = [ 3.74291073e-16 -4.44415426e-16], Best Fitness = 3.3759887828856495e-31, Evaluations = 1200
Generation 150: Best Solution = [ 3.74291073e-16 -4.44415426e-16], Best Fitness = 3.3759887828856495e-31, Evaluations = 1208
Generation 151: Best Solution = [ 3.74291073e-16 -4.44415426e-16], Best Fitness = 3.3759887828856495e-31, Evaluations = 1216
Generation 152: Best Solution = [ 3.21807299e-16 -2.09335003e-16], Best Fitness = 1.473810808452186e-31, Evaluations = 1224
Generation 153: Best Solution = [-2.71836696e-16  1.28265384e-16], Best Fitness = 9.034719783061924e-32, Evaluations = 1232
Generation 154: Best Solution = [-2.71836696e-16  1.28265384e-16], Best Fitness = 9.034719783061924e-32, Evaluations = 1240
Generation 155: Best Solution = [-2.71836696e-16  1.28265384e-16], Best Fitness = 9.034719783061924e-32, Evaluations = 1248
Generation 156: Best Solution = [-1.26397451e-16  1.04759923e-16], Best Fitness = 2.695095709138402e-32, Evaluations = 1256
Generation 157: Best Solution = [-2.79128900e-17  9.60931799e-18], Best Fitness = 8.714684207143425e-34, Evaluations = 1264
Generation 158: Best Solution = [-2.79128900e-17  9.60931799e-18], Best Fitness = 8.714684207143425e-34, Evaluations = 1272
Generation 159: Best Solution = [-2.79128900e-17  9.60931799e-18], Best Fitness = 8.714684207143425e-34, Evaluations = 1280
Generation 160: Best Solution = [-2.79128900e-17  9.60931799e-18], Best Fitness = 8.714684207143425e-34, Evaluations = 1288
Generation 161: Best Solution = [-2.79128900e-17  9.60931799e-18], Best Fitness = 8.714684207143425e-34, Evaluations = 1296
Generation 162: Best Solution = [-2.79128900e-17  9.60931799e-18], Best Fitness = 7.59642013071319e-34, Evaluations = 1304
Generation 163: Best Solution = [-2.12808299e-17 -3.28149142e-18], Best Fitness = 4.636419055197891e-34, Evaluations = 1312
Generation 164: Best Solution = [-1.59275917e-17 -6.04514341e-18], Best Fitness = 2.902319349459868e-34, Evaluations = 1320
Generation 165: Best Solution = [ 1.32633630e-18 -6.84450479e-18], Best Fitness = 4.860641376629698e-35, Evaluations = 1328
Generation 166: Best Solution = [ 1.32633630e-18 -6.84450479e-18], Best Fitness = 4.860641376629698e-35, Evaluations = 1336
Generation 167: Best Solution = [ 1.32633630e-18 -6.84450479e-18], Best Fitness = 4.860641376629698e-35, Evaluations = 1344
Generation 168: Best Solution = [ 3.41042937e-18 -4.83383352e-19], Best Fitness = 1.1864687968638699e-35, Evaluations = 1352
Generation 169: Best Solution = [ 3.41042937e-18 -4.83383352e-19], Best Fitness = 1.1864687968638699e-35, Evaluations = 1360
Generation 170: Best Solution = [ 3.41042937e-18 -4.83383352e-19], Best Fitness = 1.1864687968638699e-35, Evaluations = 1368
Generation 171: Best Solution = [-8.90594990e-19  9.42066393e-19], Best Fitness = 1.680648524810912e-36, Evaluations = 1376
