Algorithm: Differential Evolution
Objective Function: Sphere
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 160: Best Solution = [1.13707774e-17 2.15942954e-18], Best Fitness = 1.3395771424417728e-34, Evaluations = 1288
Generation 161: Best Solution = [-5.65322516e-20 -1.27886438e-19], Best Fitness = 1.955083637646077e-38, Evaluations = 1296
Generation 162: Best Solution = [-5.65322516e-20 -1.27886438e-19], Best Fitness = 1.955083637646077e-38, Evaluations = 1304
Generation 163: Best Solution = [-5.65322516e-20 -1.27886438e-19], Best Fitness = 1.955083637646077e-38, Evaluations = 1312
Generation 164: Best Solution = [-5.65322516e-20 -1.27886438e-19], Best Fitness = 1.955083637646077e-38, Evaluations = 1320
Generation 165: Best Solution = [-5.65322516e-20 -1.27886438e-19], Best Fitness = 1.955083637646077e-38, Evaluations = 1328
Generation 166: Best Solution = [-5.65322516e-20 -1.27886438e-19], Best Fitness = 1.955083637646077e-38, Evaluations = 1336
Generation 167: Best Solution = [-5.65322516e-20 -1.27886438e-19], Best Fitness = 1.955083637646077e-38, Evaluations = 1344
Generation 168: Best Solution = [-1.07723194e-19 -3.34007501e-20], Best Fitness = 1.2719896581098596e-38, Evaluations = 1352
Generation 169: Best Solution = [-1.07723194e-19 -3.34007501e-20], Best Fitness = 1.2719896581098596e-38, Evaluations = 1360
Generation 170: Best Solution = [-1.07723194e-19 -3.34007501e-20], Best Fitness = 1.1180169944469966e-39, Evaluations = 1368
Generation 171: Best Solution = [-1.07723194e-19 -3.34007501e-20], Best Fitness = 1.1180169944469966e-39, Evaluations = 1376
Generation 172: Best Solution = [-1.07723194e-19 -3.34007501e-20], Best Fitness = 1.1180169944469966e-39, Evaluations = 1384
Generation 173: Best Solution = [-1.07723194e-19 -3.34007501e-20], Best Fitness = 1.1180169944469966e-39, Evaluations = 1392
Generation 174: Best Solution = [-1.07723194e-19 -3.34007501e-20], Best Fitness = 1.1180169944469966e-39, Evaluations = 1400
Generation 175: Best Solution = [-1.07723194e-19 -3.34007501e-20], Best Fitness = 1.1180169944469966e-39, Evaluations = 1408
Generation 176: Best Solution = [-1.07723194e-19 -3.34007501e-20], Best Fitness = 1.1180169944469966e-39, Evaluations = 1416
Generation 177: Best Solution = [-1.07723194e-19 -3.34007501e-20], Best Fitness = 1.1180169944469966e-39, Evaluations = 1424
Generation 178: Best Solution = [-1.07723194e-19 -3.34007501e-20], Best Fitness = 1.1180169944469966e-39, Evaluations = 1432
Generation 179: Best Solution = [-1.07723194e-19 -3.34007501e-20], Best Fitness = 1.1180169944469966e-39, Evaluations = 1440
Generation 180: Best Solution = [-1.07723194e-19 -3.34007501e-20], Best Fitness = 1.1180169944469966e-39, Evaluations = 1448
Generation 181: Best Solution = [-1.07723194e-19 -3.34007501e-20], Best Fitness = 1.1180169944469966e-39, Evaluations = 1456
Generation 182: Best Solution = [-1.07723194e-19 -3.34007501e-20], Best Fitness = 1.1180169944469966e-39, Evaluations = 1464
Generation 183: Best Solution = [-1.07723194e-19 -3.34007501e-20], Best Fitness = 1.1180169944469966e-39, Evaluations = 1472
Generation 184: Best Solution = [-1.07723194e-19 -3.34007501e-20], Best Fitness = 1.1180169944469966e-39, Evaluations = 1480
Generation 185: Best Solution = [-1.07723194e-19 -3.34007501e-20], Best Fitness = 1.1180169944469966e-39, Evaluations = 1488
Generation 186: Best Solution = [-1.07723194e-19 -3.34007501e-20], Best Fitness = 1.1180169944469966e-39, Evaluations = 1496
Generation 187: Best Solution = [-1.07723194e-19 -3.34007501e-20], Best Fitness = 1.1180169944469966e-39, Evaluations = 1504
Generation 188: Best Solution = [2.55055831e-21 2.11901796e-20], Best Fitness = 4.555290580556065e-40, Evaluations = 1512
Generation 189: Best Solution = [-3.76945645e-22  1.54572090e-20], Best Fitness = 2.390673987175519e-40, Evaluations = 1520
Generation 190: Best Solution = [-3.76945645e-22  1.54572090e-20], Best Fitness = 2.390673987175519e-40, Evaluations = 1528
Generation 191: Best Solution = [3.29916685e-21 9.69432811e-21], Best Fitness = 1.0486449943198809e-40, Evaluations = 1536
Generation 192: Best Solution = [3.29916685e-21 9.69432811e-21], Best Fitness = 1.0486449943198809e-40, Evaluations = 1544
Generation 193: Best Solution = [-2.27204388e-23 -7.87245468e-21], Best Fitness = 6.19760588767909e-41, Evaluations = 1552
Generation 194: Best Solution = [1.42434948e-21 3.16046107e-21], Best Fitness = 1.2017285607024282e-41, Evaluations = 1560
Generation 195: Best Solution = [-1.07564079e-21  2.26240364e-21], Best Fitness = 6.275473339910045e-42, Evaluations = 1568
Generation 196: Best Solution = [-1.07564079e-21  2.26240364e-21], Best Fitness = 6.275473339910045e-42, Evaluations = 1576
Generation 197: Best Solution = [5.88027034e-24 1.51636853e-21], Best Fitness = 2.2994080815590616e-42, Evaluations = 1584
Generation 198: Best Solution = [8.93631479e-22 6.46920704e-22], Best Fitness = 1.217083617760817e-42, Evaluations = 1592
Generation 199: Best Solution = [-3.17472217e-22  6.93498631e-23], Best Fitness = 1.0559801185499729e-43, Evaluations = 1600
Generation 200: Best Solution = [-3.17472217e-22  6.93498631e-23], Best Fitness = 1.0559801185499729e-43, Evaluations = 1608
Generation 201: Best Solution = [5.88027034e-24 1.63547570e-22], Best Fitness = 2.678238538651482e-44, Evaluations = 1616
Generation 202: Best Solution = [5.88027034e-24 1.63547570e-22], Best Fitness = 2.678238538651482e-44, Evaluations = 1624
Generation 203: Best Solution = [5.88027034e-24 1.63547570e-22], Best Fitness = 2.678238538651482e-44, Evaluations = 1632
Generation 204: Best Solution = [5.88027034e-24 1.96688624e-23], Best Fitness = 4.2144172871505e-46, Evaluations = 1640
Generation 205: Best Solution = [5.88027034e-24 1.96688624e-23], Best Fitness = 4.2144172871505e-46, Evaluations = 1648
Generation 206: Best Solution = [5.88027034e-24 1.96688624e-23], Best Fitness = 3.8701600393142296e-46, Evaluations = 1656
Generation 207: Best Solution = [5.88027034e-24 1.96688624e-23], Best Fitness = 3.8701600393142296e-46, Evaluations = 1664
Generation 208: Best Solution = [5.88027034e-24 1.96688624e-23], Best Fitness = 3.8701600393142296e-46, Evaluations = 1672
Generation 209: Best Solution = [5.88027034e-24 1.96688624e-23], Best Fitness = 3.8701600393142296e-46, Evaluations = 1680
