Algorithm: Differential Evolution
Objective Function: Rosenbrock
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 232: Best Solution = [0.98976111 0.97962623], Best Fitness = 0.00010483471677708287, Evaluations = 1864
Generation 233: Best Solution = [0.98976111 0.97962623], Best Fitness = 0.00010483471677708287, Evaluations = 1872
Generation 234: Best Solution = [0.98976111 0.97962623], Best Fitness = 0.00010483471677708287, Evaluations = 1880
Generation 235: Best Solution = [0.98976119 0.97962699], Best Fitness = 0.00010483316275972711, Evaluations = 1888
Generation 236: Best Solution = [0.98976127 0.97962802], Best Fitness = 0.000104831555677561, Evaluations = 1896
Generation 237: Best Solution = [0.98976127 0.97962802], Best Fitness = 0.000104831555677561, Evaluations = 1904
Generation 238: Best Solution = [0.98976134 0.97962699], Best Fitness = 0.00010483015769702141, Evaluations = 1912
Generation 239: Best Solution = [0.98976134 0.97962699], Best Fitness = 0.00010483015769702141, Evaluations = 1920
Generation 240: Best Solution = [0.98976142 0.97962707], Best Fitness = 0.00010482847289547361, Evaluations = 1928
Generation 241: Best Solution = [0.98976149 0.97962695], Best Fitness = 0.0001048272268367144, Evaluations = 1936
Generation 242: Best Solution = [0.98976149 0.97962721], Best Fitness = 0.00010482721919185158, Evaluations = 1944
Generation 243: Best Solution = [0.98976151 0.97962721], Best Fitness = 0.00010482677163023992, Evaluations = 1952
Generation 244: Best Solution = [0.98976151 0.97962721], Best Fitness = 0.00010482677163023992, Evaluations = 1960
Generation 245: Best Solution = [0.98976154 0.97962734], Best Fitness = 0.00010482600435266768, Evaluations = 1968
Generation 246: Best Solution = [0.98976154 0.97962734], Best Fitness = 0.00010482600435266768, Evaluations = 1976
Generation 247: Best Solution = [0.98976154 0.97962734], Best Fitness = 0.00010482600435266768, Evaluations = 1984
Generation 248: Best Solution = [0.98976156 0.97962748], Best Fitness = 0.00010482571939825878, Evaluations = 1992
Generation 249: Best Solution = [0.98976156 0.97962748], Best Fitness = 0.00010482571203631771, Evaluations = 2000
