Algorithm: Differential Evolution
Objective Function: Rastrigin
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 132: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 1064
Generation 133: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 1072
Generation 134: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 1080
Generation 135: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 1088
Generation 136: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 1096
Generation 137: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 1104
Generation 138: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 1112
Generation 139: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 1120
Generation 140: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 1128
Generation 141: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 1136
Generation 142: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 1144
Generation 143: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 1152
Generation 144: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 1160
Generation 145: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 1168
Generation 146: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 1176
Generation 147: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 1184
Generation 148: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 1192
Generation 149: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 1200
Generation 150: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 1208
Generation 151: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 1216
Generation 152: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 1224
Generation 153: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 1232
Generation 154: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 1240
Generation 155: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 1248
